Part,Value,Device,Package,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,CATEGORY,DESCRIPTION,HEIGHT,MANUFACTURER,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MPN,OPERATING_TEMP,PART_STATUS,RATING,ROHS_COMPLIANT,SERIES,SUB-CATEGORY,THERMALLOSS,TOLERANCE,TYPE
CAP1,PAD_CAPACITOR,PAD_CAPACITOR,PAD_BOTH_P,,,,,,,,,,,,,,,,,,,,,
CAP2,PAD_CAPACITOR,PAD_CAPACITOR,PAD_BOTH_P,,,,,,,,,,,,,,,,,,,,,
IC1,MCP1402T-E_OT,MCP1402T-E_OT,SOT95P270X145-5N,"MOSFET Driver 0.5A High-Speed 18V SOT23",,,,"MOSFET Driver 0.5A High-Speed 18V SOT23",1.45mm,,Microchip,MCP1402T-E/OT,579-MCP1402T-E/OT,https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP1402T-E-OT?qs=aE5D7Pt6ky3dpBpieBLY3A%3D%3D,,,,,,,,,,
IC2,MCP1402T-E_OT,MCP1402T-E_OT,SOT95P270X145-5N,"MOSFET Driver 0.5A High-Speed 18V SOT23",,,,"MOSFET Driver 0.5A High-Speed 18V SOT23",1.45mm,,Microchip,MCP1402T-E/OT,579-MCP1402T-E/OT,https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP1402T-E-OT?qs=aE5D7Pt6ky3dpBpieBLY3A%3D%3D,,,,,,,,,,
IC3,MCP1402T-E_OT,MCP1402T-E_OT,SOT95P270X145-5N,"MOSFET Driver 0.5A High-Speed 18V SOT23",,,,"MOSFET Driver 0.5A High-Speed 18V SOT23",1.45mm,,Microchip,MCP1402T-E/OT,579-MCP1402T-E/OT,https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP1402T-E-OT?qs=aE5D7Pt6ky3dpBpieBLY3A%3D%3D,,,,,,,,,,
IC4,MCP1402T-E_OT,MCP1402T-E_OT,SOT95P270X145-5N,"MOSFET Driver 0.5A High-Speed 18V SOT23",,,,"MOSFET Driver 0.5A High-Speed 18V SOT23",1.45mm,,Microchip,MCP1402T-E/OT,579-MCP1402T-E/OT,https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP1402T-E-OT?qs=aE5D7Pt6ky3dpBpieBLY3A%3D%3D,,,,,,,,,,
JP2,PINHD-1X13,PINHD-1X13,1X13,"PIN HEADER",,,CONNECTOR,,,,,,,,,,,,,,PIN-HEADER,,,
JP3,PINHD-1X13,PINHD-1X13,1X13,"PIN HEADER",,,CONNECTOR,,,,,,,,,,,,,,PIN-HEADER,,,
L1,7447714220,7447714220,7447714220,,,,,,,,,,,,,,,,,,,,,
Q1,IRF520NSTRLPBF,IRF520NSTRLPBF,IRF2804STRLPBF,"HEXFET N-Ch Power MOSFET 9.7A 100V D2PAK Infineon IRF520NSTRLPBF N-channel MOSFET Transistor, 9.7 A, 100 V, 3-Pin D2PAK",IRF520NSTRLPBF,https://www.arrow.com/en/products/irf520nstrlpbf/infineon-technologies-ag?region=nac,,"HEXFET N-Ch Power MOSFET 9.7A 100V D2PAK Infineon IRF520NSTRLPBF N-channel MOSFET Transistor"," 9.7 A"," 100 V"," 3-Pin D2PAK",4.83mm,,Infineon,IRF520NSTRLPBF,942-IRF520NSTRLPBF,https://www.mouser.co.uk/ProductDetail/Infineon-IR/IRF520NSTRLPBF?qs=9%252BKlkBgLFf3zOOMwLfNckA%3D%3D,,,,,,,
Q2,IRF520NSTRLPBF,IRF520NSTRLPBF,IRF2804STRLPBF,"HEXFET N-Ch Power MOSFET 9.7A 100V D2PAK Infineon IRF520NSTRLPBF N-channel MOSFET Transistor, 9.7 A, 100 V, 3-Pin D2PAK",IRF520NSTRLPBF,https://www.arrow.com/en/products/irf520nstrlpbf/infineon-technologies-ag?region=nac,,"HEXFET N-Ch Power MOSFET 9.7A 100V D2PAK Infineon IRF520NSTRLPBF N-channel MOSFET Transistor"," 9.7 A"," 100 V"," 3-Pin D2PAK",4.83mm,,Infineon,IRF520NSTRLPBF,942-IRF520NSTRLPBF,https://www.mouser.co.uk/ProductDetail/Infineon-IR/IRF520NSTRLPBF?qs=9%252BKlkBgLFf3zOOMwLfNckA%3D%3D,,,,,,,
Q3,IRF520NSTRLPBF,IRF520NSTRLPBF,IRF2804STRLPBF,"HEXFET N-Ch Power MOSFET 9.7A 100V D2PAK Infineon IRF520NSTRLPBF N-channel MOSFET Transistor, 9.7 A, 100 V, 3-Pin D2PAK",IRF520NSTRLPBF,https://www.arrow.com/en/products/irf520nstrlpbf/infineon-technologies-ag?region=nac,,"HEXFET N-Ch Power MOSFET 9.7A 100V D2PAK Infineon IRF520NSTRLPBF N-channel MOSFET Transistor"," 9.7 A"," 100 V"," 3-Pin D2PAK",4.83mm,,Infineon,IRF520NSTRLPBF,942-IRF520NSTRLPBF,https://www.mouser.co.uk/ProductDetail/Infineon-IR/IRF520NSTRLPBF?qs=9%252BKlkBgLFf3zOOMwLfNckA%3D%3D,,,,,,,
Q4,IRF520NSTRLPBF,IRF520NSTRLPBF,IRF2804STRLPBF,"HEXFET N-Ch Power MOSFET 9.7A 100V D2PAK Infineon IRF520NSTRLPBF N-channel MOSFET Transistor, 9.7 A, 100 V, 3-Pin D2PAK",IRF520NSTRLPBF,https://www.arrow.com/en/products/irf520nstrlpbf/infineon-technologies-ag?region=nac,,"HEXFET N-Ch Power MOSFET 9.7A 100V D2PAK Infineon IRF520NSTRLPBF N-channel MOSFET Transistor"," 9.7 A"," 100 V"," 3-Pin D2PAK",4.83mm,,Infineon,IRF520NSTRLPBF,942-IRF520NSTRLPBF,https://www.mouser.co.uk/ProductDetail/Infineon-IR/IRF520NSTRLPBF?qs=9%252BKlkBgLFf3zOOMwLfNckA%3D%3D,,,,,,,
R1,,R_CHIP-0603(1608-METRIC),RESC1608X60,"Resistor Fixed - Generic",,,Resistor,,,,,,,,,,,,,,Fixed,,,
R2,,R_CHIP-0603(1608-METRIC),RESC1608X60,"Resistor Fixed - Generic",,,Resistor,,,,,,,,,,,,,,Fixed,,,
R3,,R_CHIP-0603(1608-METRIC),RESC1608X60,"Resistor Fixed - Generic",,,Resistor,,,,,,,,,,,,,,Fixed,,,
R4,,R_CHIP-0603(1608-METRIC),RESC1608X60,"Resistor Fixed - Generic",,,Resistor,,,,,,,,,,,,,,Fixed,,,
